N,Titulo,link
225,Aceptación y renuncia a la herencia,https://www.youtube.com/watch?v=S6dEfMtNOcA
226,EL ANTICRÉTICO EN BOLIVIA,https://www.youtube.com/watch?v=i7hVoFYZekI
227,Cómo citar bien y evitar el plagio (aplicación con normas APA),https://www.youtube.com/watch?v=Q4j-Zv-zbJ8
228,"Las claves de la genialidad: curiosidad, perseverancia y pasión. Christian Gálvez",https://www.youtube.com/watch?v=adADgAbglSw
229,Una Vida con Propósito / Pastor Rick,https://www.youtube.com/watch?v=L0XHz04KTiA
230,Cómo Dejar De Ser Tímido Y Callado - 12 Consejos Para Superar La Timidez,https://www.youtube.com/watch?v=Xus2cLnEoUs
231,"9 Cosas que debes SACAR del dormitorio de tu casa, ATRAEN POBREZA Y RUINA",https://www.youtube.com/watch?v=MuBGhAHIaaM&list=RDCMUCPWLGINEJx5jwNxKxJyHtJw&index=2
232,7 Trucos Psicológicos Simples Para CONTROLAR CUALQUIER PERSONA Y Situación,https://www.youtube.com/watch?v=1dWQi7R_J7Q&list=RDCMUCPWLGINEJx5jwNxKxJyHtJw&index=3
233,Lleva Esto En Tu Cartera o Billetera Y El DINERO LLEGARA FÁCILMENTE A Ti,https://www.youtube.com/watch?v=CXyt7N43EhY&list=RDCMUCPWLGINEJx5jwNxKxJyHtJw&index=12
234,7 Hábitos Para Tener una Relación Más Sana y Duradera,https://www.youtube.com/watch?v=-0SvQlS_j6Y&list=RDCMUCPWLGINEJx5jwNxKxJyHtJw&index=4
235,EL ARTE DE TRATAR A LAS MUJERES AUDIOLIBRO COMPLETO EN ESPAÑOL - ARTHUR SCHOPENHAUER - FILOSOFIA,https://www.youtube.com/watch?v=qdD0YLaVW-8&list=RDCMUCH5kUshoNleZvMdypocgDNw&index=14
236,6 Cosas Que Van A Pasar Cuando El Universo Quiere Que Tú Estés Con Alguien | LA LEY DE ATRACCION,https://www.youtube.com/watch?v=oZArdJQAyX4&list=RDCMUCPWLGINEJx5jwNxKxJyHtJw&index=13
237,"LA MAGIA DEL ORDEN (Enfoque Inspiración, Hábitos y Minimalismo Mental) - Marie Kondo",https://www.youtube.com/watch?v=-vSwuudpSfA&list=RDCMUCPWLGINEJx5jwNxKxJyHtJw&index=17
238,2 Hábitos Matutinos Que Cambiarán Tu Vida,https://www.youtube.com/watch?v=Rxvr_nhkZbQ&list=RDCMUCPWLGINEJx5jwNxKxJyHtJw&index=20
239,Gané mi primer concurso con los consejos de Helena Hadsell...,https://www.youtube.com/watch?v=a77LcXNoL5Y
240,EL SECRETO DEL ÉXITO AUDIOLIBRO COMPLETO EN ESPAÑOL - WILLIAM WALKER ATKINSON - VOZ HUMANA,https://www.youtube.com/watch?v=RD7EF-4e8YI&list=RDCMUCH5kUshoNleZvMdypocgDNw&index=27
241,❓ Que TIPOS de PODCAST hacer [6 OPCIONES],https://www.youtube.com/watch?v=Y4hWWm42zUk
242,CÓMO estructurar tu GUION en tres actos - EXPLICADO,https://www.youtube.com/watch?v=njiyDAKWZrI
243,Capítulo #10: Aprende a ordenar tu vida sin ser Marie Kondo,https://www.youtube.com/watch?v=9ZCmEUb4_XI
244,Como limpiar la mente subconsciente,https://www.youtube.com/watch?v=GOxGwbf-7jc
245,EL MANIFIESTO COMUNISTA AUDIOLIBRO COMPLETO EN ESPAÑOL - KARL MARX - VOZ HUMANA,https://www.youtube.com/watch?v=J3dgHpyXOsg&list=RDCMUCH5kUshoNleZvMdypocgDNw&index=27
246,"elimina las ataduras, encuentra tu don",https://www.youtube.com/watch?v=9SZF1LHG6xo
247,TE REGALO LO QUE SE TE ANTOJE AUDIOLIBRO COMPLETO EN ESPAÑOL - CONNY MENDEZ - AUDIOLIBROS METAFÍSICA,https://www.youtube.com/watch?v=2ap6eMck9Is&list=RDCMUCH5kUshoNleZvMdypocgDNw&index=27
248,"Versión Completa. La fuerza de voluntad, esa gran desconocida. Mago More, conferenciante y humorista",https://www.youtube.com/watch?v=CsGbnenVlvA
249,"Entrevista al Mago More, el mejor paciente",https://www.youtube.com/watch?v=Lf-07c1fivY
250,LA CIENCIA DE ESTAR BIEN AUDIOLIBRO COMPLETO EN ESPAÑOL - WALLACE D. WATTLES - AUDIOLIBRO METAFÍSICA,https://www.youtube.com/watch?v=ICxzvhcq4lk&list=RDCMUCH5kUshoNleZvMdypocgDNw&index=27
251,EL ARTE DE LA FELICIDAD AUDIOLIBRO COMPLETO EN ESPAÑOL - EPICURO - AUDIOLIBROS DE FILOSOFÍA,https://www.youtube.com/watch?v=FzqJFWsb9eo&list=RDCMUCH5kUshoNleZvMdypocgDNw&index=27
252,EL SECRETO DEL ÉXITO,https://www.youtube.com/watch?v=fhK0j5S1Zwg
253,Mindfulness: Cómo Mantener la Calma en la Tempestad: Podcast #7 - Practica la Psicología Positiva,https://www.youtube.com/watch?v=ZG9J_wTB-xI
254,EL PODER de las PALABRAS | Mario Alonso Puig,https://www.youtube.com/watch?v=LsONUEOh6NA
255,Mindfulness: SuperVivencia | Israel Mañas en el I Congreso de Mindfulness en la Educación,https://www.youtube.com/watch?v=rD-JOrmNACM
256,Khalil Gibran - El Vagabundo (Audiolibro Completo en Español) [Voz Real Humana],https://www.youtube.com/watch?v=2OHAV_tH0IQ
257,Mío Cid. Resolución de las hijas del Cid y torneo de justas,https://www.youtube.com/watch?v=7rE_rJiCDZM
258,Esta reforma tributaria no tiene nada que esconder: director de la DIAN,https://www.youtube.com/watch?v=Sr832FXgZp8
259,CÓMO DARLE DIRECCIÓN A TU VIDA - Hnos Pancardo - AudioLibros de Superación Personal,https://www.youtube.com/watch?v=-VKrVSWnf58
260,"MEJOR AUDIOLIBRO DE MOTIVACION PERSONAL, YO PUEDO DE BEN SWEETLAND",https://www.youtube.com/watch?v=m7j68iB4qw4
261,"MEJOR AUDIO MOTIVACIÓN, COMO OPTIMIZAR EL TIEMPO PARA SER EXITOSO, CONFERENCIA MIGUEL ANGEL CORNEJO",https://www.youtube.com/watch?v=veqSvqpPkc8
262,"JIM ROHN como TENER DETERMINACIÓN 2019, Motivación personal ejemplos",https://www.youtube.com/watch?v=IY1N4kqF54w
263,"Versión Completa: Victor Küppers, El valor de tu actitud",https://www.youtube.com/watch?v=Z3_f6a-YrY8
264,Así es la propuesta del gobierno Petro para que la tierra rural pague impuestos,https://www.youtube.com/watch?v=_pAZpHR3UI4
265,"Gustavo Petro, ¿Si usted es presidente, restablece relaciones con Nicolas Maduro? | El Tiempo",https://www.youtube.com/watch?v=xrrrck1yqCA
266,"Federico Gutierrez a Petro: ""¿De dónde saldrá la plata para todas esas promesas?"" | El Tiempo",https://www.youtube.com/watch?v=52b8GHdJztc
267,💥🙄💥CHINA apuesta por Centrales Nucleares vs ESTADOS UNIDOS por Reactores nucleares🤔DESCUBRE POR QUÉ,https://www.youtube.com/watch?v=JGcrkS0QfcY
268,Historia del Avivamiento en Bolivia-Julio cesar Ruibal,https://www.youtube.com/watch?v=PXYM4RHY-dg
269,UNA VIDA CON PROPÓSITO. DIA 12,https://www.youtube.com/watch?v=fAOkfaGoYgo
270,EL AYUNO. CAPT.31 COMO MANTENER EL AVANCE Y LA LIBERACION.,https://www.youtube.com/watch?v=iNGa5SqR_h8
271,El Suelo y la Vegetación,https://www.youtube.com/watch?v=HDGr51utgwE
272,AUDIOLIBRO MENTALIDAD RESILIENTE (Motivación y pensamiento positivo),https://www.youtube.com/watch?v=rsei2355FAM
273,MENTALIDAD DE GUERRERO - MOTIVACIÓN - AUDIOLIBRO EN ESPAÑOL,https://www.youtube.com/watch?v=2DXC5CMU2fY
274,Estudiar Ingeniería electrónica: Mi experiencia estudiando la carrera de ingeniero electrónico,https://www.youtube.com/watch?v=6kCB-jps280
275,Supera los ✅ TEST DE APTITUD MECÁNICA. Con soluciones razonadas. (Parte 1) 40 preguntas,https://www.youtube.com/watch?v=dnruFq6TTb8
276,29. Preguntas tipo examen de admisión: Sinonimia y antonimia. R. v .5°,https://www.youtube.com/watch?v=vufB71Tchos
277,clase de analogías - preparación concurso docente 2021,https://www.youtube.com/watch?v=nYzS2PQQt-Q
278,"TEST TRANSFORMAR - RAZONAMIENTO VERBAL: SINONIMIA, ANTONIMIA, ANALOGIAS, COMPLETAR ORACIONES, TEXTOS",https://www.youtube.com/watch?v=KGH_ZKjONTM
279,S1- SITUACIONES LÓGICAS - RM - 5TO100 visualizaciones  4 mar 2021,https://www.youtube.com/watch?v=r_gwQ6YVVsU
280,"La ciencia y la física cuántica nos ayudan a entender el universo. Sonia Fernández-Vidal, física",https://www.youtube.com/watch?v=hsLcAQ87TEE
281,CONVERSACIONES DE FUTURO | SONIA FERNÁNDEZ-VIDAL CON DAVID ESCAMILLA IMPARATO,https://www.youtube.com/watch?v=L4GMji9vbL4
282,INNOVEM FEST '20 - Xavier Marcet,https://www.youtube.com/watch?v=zdQNHvqOFPY
283,“Día 0”  Actívate o actívate con Xavier Marcet 11.05,https://www.youtube.com/watch?v=O8caMutxk1U
284,Marian Rojas: Reiniciar el cerebro para afrontar el futuro | Ponencia| CIC2021,https://www.youtube.com/watch?v=Em7Rl-4xPlo
285,"""Si algo define al humano es preguntarse y explorar"". Carlos Briones, científico y escritor",https://www.youtube.com/watch?v=zBxVxxBkBjQ
286,"Versión Completa. Tu mirada puede transformar a las personas. Álex Rovira, escritor y divulgador",https://www.youtube.com/watch?v=zv2j59sVMUM
287,Álex Rovira: Nuevas Tendencias de la Gestión Empresarial - Entrevista completa COINI,https://www.youtube.com/watch?v=O0LSszN2SVE
288,"""Sábados para Conectar"": 18/7 Lic. Alex Rovira Celma",https://www.youtube.com/watch?v=gwk9zEN8Ww4
289,JODOROWSKY y ÁLEX ROVIRA · Entrevistas que SANAN · Carta Blanca RTVE ·,https://www.youtube.com/watch?v=Xc2DcJOn2e4
290,"Presentación ""La vida es un cuento"" Alejandro Jodorowsky",https://www.youtube.com/watch?v=uhRMUSrr1Cw
291,"La fascinante historia de una artista olvidada. Miguel Ángel Cajigal, historiador del arte",https://www.youtube.com/watch?v=EbvN68yTU38
292,"CHARLAS PARA PADRES: VIOLENCIA INTRAFAMILIAR, cómo abordarlo desde lo legal a emocional",https://www.youtube.com/watch?v=biPaAWcd52E
293,Conferencia Adiós a la depresión - Dr. Enrique Rojas,https://www.youtube.com/watch?v=7dpi7CD6YhI
294,"""Es el momento de volver a dar vida a nuestras ilusiones"". (Versión completa)",https://www.youtube.com/watch?v=B56LuWWy2wk
295,¿Piensas que Somos participio o gerundio? DECIDE - Mario Alonso Puig I Aprende a CAMBIAR ,https://www.youtube.com/watch?v=g5lPGYtLROg
296,Qué herramientas básicas necesitamos para arreglar una bicicleta,https://www.youtube.com/watch?v=QelKZwBlScY
297,Cómo llevar la bici en el coche. ¡Sin portabicis!,https://www.youtube.com/watch?v=Nps4Ji1YXBE
298,Tipos de ejes de pedalier para bicicleta 1/2,https://www.youtube.com/watch?v=l4nZCWCUdBk
299,El mejor portabicis de techo para bici completa. Whispbar WB201,https://www.youtube.com/watch?v=fbGDLQPLDCc
300,Reglaje del árbol de levas – Avances y retardos Parte 1,https://www.youtube.com/watch?v=3FKbu7TtusQ
301,Neumática. Simbología de válvulas distribuidoras.,https://www.youtube.com/watch?v=Qd9iygJ9RgM
302,GRAFCET BÁSICO,https://www.youtube.com/watch?v=BemisA7B8S4
303,Presentación del LOGO! de Siemens.,https://www.youtube.com/watch?v=wEC3_QbxuuQ
304,NEUMATICA GRAFCET,https://www.youtube.com/watch?v=g0_N3rLWrrI
305,Explicación del sistema 4x4 (¡No es un AWD ni tampoco un 4WD!),https://www.youtube.com/watch?v=4BlxZltKTJw
306,¿Cómo funciona un diferencial? ¿Abierto o bloqueado? - La ingeniería detrás,https://www.youtube.com/watch?v=LDTY3Fjh00Q
307,Simona Sánchez en #ElPodcast de Alejandro Marín [Episodio 39 - Temporada 3],https://www.youtube.com/watch?v=xxJyf2koEzQ&t=89s
308,NINGÚN MECÁNICO te ENSEÑARÁ ESTO sobre TORNILLOS y MEDIDAS,https://www.youtube.com/watch?v=B1p9c98XEuM
309,POCOS MECÁNICOS LO EXPLICAN: Cómo ESCOGER el CONVERTIDOR DE PAR (Cajas Automáticas),https://www.youtube.com/watch?v=w_dCSFLUOvg
310,PRÁCTICA DE COORDENADAS ABSOLUTAS E INCREMENTALES,https://www.youtube.com/watch?v=oWxNACV8-rM
311,brazos axial de dirección su función y sus 6 fallas,https://www.youtube.com/watch?v=thOt0UMenuc
312,SONIA FERNÁNDEZ VIDAL - Física cuántica,https://www.youtube.com/watch?v=4jdPPChsZ_A
313,El universo en tus manos,https://www.youtube.com/watch?v=zwkyOxia3ss
314,Descubre el EXPERIMENTO de los MONOS y las BANANAS,https://www.youtube.com/watch?v=04osDuBVZLY
315,Sana tu energía para la abundancia,https://youtu.be/3VNuehaQCRQ
316,"Las 7 llaves de la Salud, con el Dr. Jesús Lex. | Horacio Marchand",https://youtu.be/aJyfK4La1XI
317,Foro Mujeres Poderosas 2017,https://youtu.be/hoSK5r83Ho4
318,Seminario de Ventas 04 Su fórmula para construir la autoestima,https://youtu.be/tpHZof9Kc08
319,"Las ocho claves para vivir mejor. Valentín Fuster, cardiólogo",https://youtu.be/lIlMtl0g7KM
320,Dr. Roberto Hernández Sampieri. El marco teórico,https://youtu.be/TH9YF3Y2GDE
321,Bases teóricas - Antonio Huachaca Urbina,https://youtu.be/QTvu9a47zyk
322,Justificacion P T M,https://youtu.be/rmYSWoXTfi8
323,Realidad problemática en un trabajo de investigación,https://youtu.be/2I4fq5bhXck
324,LAS RAMAS DEL DERECHO Y SU UTILIDAD,https://youtu.be/-y-MzFsC9eI
325,Procesal Fiscal Trabajo Final,https://youtu.be/fIEEGDIIu78
326,"Jurisprudencia, su integración.",https://youtu.be/wKpubnl8swk
327,"Jurisprudencia, manual para su consulta",https://youtu.be/0Dzr-k34osU
328,¿Que diferencias existen entre el Derecho Internacional Público y el Derecho Internacional Privado?,https://youtu.be/PoAVvti0bZA
329,La relación entre el Derecho Interno y el Derecho Internacional,https://youtu.be/fzicYdRBaPM
330,CR - ACCOLDI | Serie 1 - Responsabilidad Internacional - María Carmelina Londoño,https://youtu.be/3P30zq4EHpI
331,Medios De Impugnacion,https://youtu.be/24yyjMAvWQo
332,ACTOS DE INVESTIGACIÓN Y PRUEBA EN EL SISTEMA ACUSATORIO,https://youtu.be/7Hr6ELp3CNI
333,CÓMO DOMINAR TU EGO y RECUPERAR LA PAZ MENTAL.,https://youtu.be/WXOSYbgRmYI
334,Por qué Dios permite que yo sufra | Pr Joel Flores | sermones adventistas,https://youtu.be/Cs_Y4-xnA-I
335,Pastor Bullón 2022 - El secreto para cambiar tu vida,https://youtu.be/c7SusgeMUIo
336,Como Mostrar Misericordia a tu Familia / Pastor Rick,https://youtu.be/UP9bIgY6occ
337,Mario Alonso Puig | Dirigir el FOCO a la SOLUCION | Pasó a Paso ,https://youtu.be/FL9m6UFbUus
338,"Equivalencia entre la Programación en FUP y programación en KOP. CLASE 4 de 4, parte 3.",https://youtu.be/ZLvRpIdhidc
339,Seminario de Ventas 03 Quitarle el cerrojo a su potencial de ventas,https://youtu.be/xeozn-Z6zlM
340,7 SECRETOS DE PERSUASIÓN PARA LAS VENTAS PSICOLÓGICAS,https://youtu.be/asQpmXKKJFk
341,COMO MOTIVARTE PARA VENDER MÁS,https://youtu.be/kDPEhKf4fec
342,CONFERENCIA CARLOS KASUGA,https://youtu.be/IhrEKxweE9k
343,PIENSA EN LO BUENO Y SE TE DARA CONNY MENDEZ AUDIOLIBRO COMPLETO EN ESPAÑOL VOZ HUMANA,https://youtu.be/umSSl_EN7Z0
344,5 Mejores HÁBITOS de éxito para comenzar el día.,https://youtu.be/nTzRIO__lXs
345,¿Es posible lograr ESTOS niveles de DQO y COT con tratamientos biológicos en tu PTAR?,https://youtu.be/Kz-4loHyqr8
346,Microalgas y aguas residuales,https://youtu.be/8Gq_qikMHms
347,Psicología ambiental y vías activas,https://youtu.be/I0VRztJTmdA
348,Ecología de enfermedades tropicales,https://youtu.be/70mXZ_94Lvk
349,Fortalecimiento de la Red de Mujeres Rurales,https://youtu.be/c8Te_HiTmik
350,Conferencia. Sonia Fernández-Vidal. Café cuántico: Conversaciones sobre Física. 23 Mayo.,https://youtu.be/3oVbjR3d_gc
351,EP100 Entrevista 3% con Ale Bernal,https://youtu.be/lZaHtZhYH_M
352,EP21 Entrevista 3% Mario Gonzalez,https://youtu.be/zFC95DHhcUk
353,Sonia Fernández Vidal,https://youtu.be/ZDac8e_OAVU
354,Golpe a red delictiva señalada de falsificar medicamentos para el cáncer y otras enfermedades,https://youtu.be/N2WNu8lyet4
355,"""Vivir con miedo no es vivir""",https://youtu.be/6NvYYHpAgS8
356,EL MEJOR DISCURSO - El público se pone de pie - Universidad Yachay Tech,https://youtu.be/O0ZhAtK3lQc
357,El Lado Positivo del Fracaso: Como Convertir los Errores en Puentes Hacia el Exito,https://youtu.be/t89_6_pWVNM
358,Pay de galletas oreo para vender,https://youtu.be/WpY1mycGUfM
359,"Clasificación de los Alimentos: Animal, vegetal y mineral",https://youtu.be/Ux1bTeQFW34
360,Inteligencia emocional en los niños | Natalia Martinez | TEDxYouth@CVF,https://youtu.be/dY-hV_XjHcY
361,¿Y si adultos y niños habláramos más? | Javier Ochoa García de León | TEDxPitic,https://youtu.be/7iZnyWHPVfM
362,Programar para aprender sin limites | Antonio Garcia Vicente | TEDxYouth@Valladolid,https://youtu.be/9hUjhIfs-bw
363,5 Pasos Para Cumplir Tus Sueños | Nacho Llantada | TEDxYouth@ASFM,https://youtu.be/aykt2BEEXDg
364,Logra lo imposible: vence tus miedos y cree en ti. | Carolina Águila | TEDxPlazaSotomayor,https://youtu.be/pLK8ndJjwQU
365,"Sí tú no crees en ti, nadie va a creer en ti | Sergio Dipp | TEDxUANL",https://www.youtube.com/watch?v=lHiWSJrBjgE
366,Transforma tu realidad | Miriam Fernández | TEDxSevilla,https://www.youtube.com/watch?v=l9EOVWeI0D0
367,No | Juan Pablo Sorin | TEDxJoven@RíodelaPlata,https://www.youtube.com/watch?v=54BNadWsEUE
368,"Cambia tu mente, cambia tu vida | Margarita Pasos | TEDxManagua",https://www.youtube.com/watch?v=uhZzB5hid6M
369,Hablemos de sexualidad: ¿Qué es ser normal? | Raquel Rottmann Rottmann | TEDxTukuyWomen,https://www.youtube.com/watch?v=gzlcaeSgt1E
370,El Futuro del Amor y el Sexo - Noemí Casquet / TEDxUCM | Noemí Casquet | TEDxUCM,https://www.youtube.com/watch?v=nWFgLGlkOUQ
371,¿Porqué soltera? | Nadia Baltazar | TEDxArroyoDeLaPlata,https://www.youtube.com/watch?v=CzwgjW2rI64
372,La simpleza enamora | Donaldo Barros | TEDxNaguanagua,https://www.youtube.com/watch?v=-AFbh-jsAVw
373,Tómate la vida más slow | Juanjo Garbizu | TEDxPlayadeOndarreta,https://www.youtube.com/watch?v=9q-a7YIrPQw
374,¿Cómo tener juntas efectivas? | Elvira Toba | TEDxCalzadaDeLosHéroes,https://www.youtube.com/watch?v=LZhXeDbyvMo
375,Mindfulness: El arte de vivir conscientemente | Andrés Martín | TEDxSantCugat,https://www.youtube.com/watch?v=g6OY_jTsQXg
376,¿Miedo o amor? Tú decides | Bárbara Mori | TEDxIbero,https://www.youtube.com/watch?v=lJujGjuAFF8
377,La Voz del Artista | Fernanda Castillo | TEDxPitic,https://www.youtube.com/watch?v=rDqLyBpo49A
378,Educar para la equidad / Educate for equality | Fernanda Tapia | TEDxCuauhtémocMujeres,https://www.youtube.com/watch?v=_T2dTRKzWFU
379,¿Qué significa en realidad “ser un hombre de verdad”? | Ricardo Rivera | TEDxPolanco,https://www.youtube.com/watch?v=SQqkiF1AxyE
380,La vida está al otro lado del miedo | Miguel Angel Tobías & Gennet Corcuera | TEDxSevilla,https://www.youtube.com/watch?v=nmrRJammHqs
381,¿Cuánto te quieres del 1 al 10? | MARÍA HERREJÓN | TEDxRealejo,https://www.youtube.com/watch?v=dJR2qFaXdNY
382,Hoy es tu mejor día | Solomon J Pendleton | TEDxArroyoDeLaPlata,https://www.youtube.com/watch?v=yAY84KzvMU0
383,Enséñese a ser infeliz | Yozimar Ruiz | TEDxArroyoDeLaPlata,https://www.youtube.com/watch?v=ePiN0odaBGo
384,Si estas vivo podes ser feliz | Juan Martín Posadas | TEDxPuntaDelEste,https://www.youtube.com/watch?v=dzo9mRpzFmY
385,La física es amor | Martín Suarez | TEDxPuntaDelEste,https://www.youtube.com/watch?v=f9_MGe4_Tzc
386,El síndrome de Meniere. Morir o seguir viviendo? | Pedro Allasi | TEDxCharacato,https://www.youtube.com/watch?v=k3hD0gC0V6w
387,Ama tus raíces y el éxito llegará solo | Deyvis Orosco | TEDxLima,https://www.youtube.com/watch?v=M568fN08MOs
388,La enfermedad como oportunidad | Georgina Sposetti | TEDxMarDelPlata,https://www.youtube.com/watch?v=GC87pMBiSEE
389,Un nuevo aerogenerador para la energia limpia distribuida | David Yanez | TEDxValladolid,https://www.youtube.com/watch?v=2WCKGdYE4zs
390,"Los bosques, las centrales de energía del futuro | Pablo Vidarte | TEDxYouth@Valladolid",https://www.youtube.com/watch?v=Ty6c1FHY77U
391,Industria 4.0: una revolución para las personas | Beatriz Gonzalez | TEDxUDeusto,https://www.youtube.com/watch?v=a0Ycxn-bZak
392,Qué es la ética de la tecnología y por qué debería importarte | Gemma Galdón-Clavell | TEDxZaragoza,https://www.youtube.com/watch?v=XJDBN2j9rr4
393,El poder de las historias | Eduardo Sáenz de Cabezón | TEDxRiodelaPlataED,https://www.youtube.com/watch?v=mWFqtxI4NKM
394,¿Por qué contar cuentos? | Ana Cristina Herreros | TEDxLeon,https://www.youtube.com/watch?v=5GM3jOa6FZE
395,El cambio empieza en uno | Valeria Kechichian | TEDxLeon,https://www.youtube.com/watch?v=b0gN_R5_3JA
396,¿MENTE AGITADA? Cómo deshacerse del estrés en tu vida I De-Stress with Spanish Lessons - Dr. PUIG,https://youtu.be/VQzDqrKOuTA
397,Supera tus Miedos y fortalece tu mente | Conviértete en una persona Vitamina,https://youtu.be/yU7fb1GZ00E
398,JIM ROHN EN ESPAÑOL - SALIR DE LA POBREZA EN TIEMPOS DE CRISIS,https://youtu.be/hlfLbUUUiwA
399,"V. Completa: Cuando ser fuerte es la única opción. Irene Villa, periodista y psicóloga",https://youtu.be/FLTRgs3k_Mk
400,Foro Mujeres Poderosas 2017 - “¡Acabemos con los estereotipos… empodérate!”,https://youtu.be/0a4fujhc0PI
401,JUANA RAMIREZ - EPCTF MÉXICO,https://youtu.be/wevPSGBTtTk
402,Los nuevos retos de la educación | César Bona | TEDxBarcelona,https://youtu.be/LcNWYNp2MSw
403,¿Aprobar o aprender? | Lucas Gortazar | TEDxUDeusto,https://youtu.be/d8smMhh8DRU
404,Encuentra la x: creatividad y el rol del profesor | Isabel Fernandez | TEDxUniversidadEuropeaMadrid,https://youtu.be/jQRCFvTdQF8
405,"Permitido reir, estamos en clase. | Mónica Guitart Coria | TEDxPaseoAlameda",https://youtu.be/-8b_qTJoryc
406,Diseñar escuelas de donde los niños no quieran irse | Rosan Bosch | TEDxZaragoza,https://youtu.be/mfCa5N42tBE
407,I-D+i: innovación (in)dependiente del dinero | Luis Martín Nuez | TEDxZaragoza,https://youtu.be/VuZzOhVhWN8
408,El futuro depende de los adolescentes: cómo podemos ayudarlos | Olga Isaza | TEDxTukuy,https://youtu.be/ZldBQcfxE0I
409,Cómo sobrevivir a una crisis económica | Marianela Denegri | TEDxUFRO,https://youtu.be/dZGH3ERl-E8
410,Identidad y Autoestima en el Adolescente | Ernesto Ayala Durán | TEDxUniversidadMichoacana,https://youtu.be/TtOvVxbVWc0
411,"Domina tus finanzas personales en un ""Dos por Tres"". | Alicia Márquez | TEDxZapopan",https://youtu.be/XUIQmILVI7E
412,¿Cómo afecta la falta de educación financiera al desarrollo del país? | Elaine Miranda | TEDxManagua,https://youtu.be/hmclmH_5Yu0
413,¿Cómo sanar el dolor de tu corazón? | Jackie Herrera | TEDxGarzaGarcia,https://youtu.be/prtpp6tdim0
414,Secretos de la relación corazón-cerebro | Luciano Sposato | TEDxRiodelaPlata,https://youtu.be/c1iMoel2LxA
415,Como tratar con gente difícil: Miguel Furque at TEDxUNCuyo,https://youtu.be/5KiGF3uZxgU
416,Superación: Sandra Ibarra at TEDxGijón,https://youtu.be/B_FIBv85Njs
417,Soltar lastre: una gran forma de adaptarse a los cambios: Natalia Gómez at TEDxFundesem,https://youtu.be/xWruz6hT8QI
418,El lenguaje de la motivacion: Maria Graciani at TEDxSevilla,https://youtu.be/GABFYH58D-A
419,Lenguaje corporal | Emiliano Salas | TEDxAvDivDelNorte,https://youtu.be/1FUHSMFUUGU
420,Transformando Percepciones |,https://youtu.be/vcAiWQY8P1s
421,Dejar de estudiar y empezar a aprender | Alfonso Blanco Santos | TEDxOviedoUniversity,https://youtu.be/zLIzBEeKN4U
422,Imaginar y crear nuevas formas de aprendizaje | Leonel Virosta | TEDxYouth@Valladolid,https://youtu.be/UopnWmKyve8
423,Tres competencias para emprender | Didac Lee | TEDxBarcelonaWomen,https://youtu.be/tZPRRIWNL90
424,Tres competencias básicas para el futuro | Pablo Heinig | TEDxCordoba,https://youtu.be/cQVg1LfmGhE
425,Sin pensamiento critico no eres nadie | Pablo Perez-Paetow | TEDxYouth@Valladolid,https://youtu.be/WxC4RfTiOsM
426,El Peor Emprendedor del Mundo | Juan Del Cerro | TEDxPitic,https://youtu.be/11lGiQVM018
427,Así funciona mi pizzería que empodera personas | Alejandro Souza | TEDxPitic,https://youtu.be/9kbhyqFmnM0
428,10 Conceptos Que Un Niño Con Autismo Desearía Que Todos Supieran | Roberto Rosler | TEDxMarDelPlata,https://youtu.be/Yb9xltZYNVQ
429,Autismo: lo que no figura en Google | Mauro D'Angelo Martínez | TEDxUCA,https://youtu.be/p41vOfURIuk
430,"Parto, lactancia y crianza, informate para poder decidir: Rosana Gadea at TEDxValencia",https://youtu.be/uHb2N9xq2UQ
431,Hacia un parto humanizado | Bia Fioretti | TEDxCordoba,https://youtu.be/2Q2BxSnJtYQ
432,Lo que me enseñó el VHS | Jorge Crowe | TEDxMontevideoED,https://youtu.be/0RUpkhpywJA
433,Dulces Son Los Frutos de la Adversidad | Karla Souza | TEDxCalzadaDeLosHéroes,https://youtu.be/kz6GON4ykNo
434,La flor que florece en la adversidad es la más rara y bella de todas. | Carla Medina | TEDxPolanco,https://youtu.be/FnfQdyg2oKI
435,Mi máquina del tiempo | Ricardo Moreno | TEDxCiudaddePuebla,https://youtu.be/0xlfa6VHwjE
436,Resilencia en Acción | Montserrat Alberdi | TEDxSanPedroSula,https://youtu.be/o20telWzZ44
437,Cómo ser maestro en cualquier momento de tu vida | Rodolfo Bello | TEDxBarriodelaEstacion,https://youtu.be/wQUg0IPW64A
438,Tus miedos son tus retos. | José Luis Reyes | TEDxUniversidadPanamericanaGuadalajara,https://youtu.be/_H-oLlhP2eM
439,"¿Cómo vivir y compartir tranquilidad,amor y risa? | María Cristina Peñalosa | TEDxCESA",https://youtu.be/Bupkl1_pyBM
440,¿Cómo las palabras pueden transformar el mundo? | Paula Salerno | TEDxCONICETRosario,https://youtu.be/HsowSxacxxw
441,El Poder de las palabras | Verónica Tróchez | TEDxRíodePiedras,https://youtu.be/1BEN-mO11uU
442,LAS PALABRAS NOS DEFINEN | Maria del Pilar Montes de Oca Sicilia | TEDxCuauhtémoc,https://youtu.be/PMZOQApiHtU
443,El poder de la sonrisa | Angie Rosales | TEDxBarcelona,https://youtu.be/JOvMr_OxtjA
444,El juego como terapia: Mónica Esteban y El Hombre de Negro at TEDxRetiro,https://youtu.be/pb6JDRVE5lU
